,B cell,T cell,ciliated columnar cell of tracheobronchial tree,classical monocyte,leukocyte,lung endothelial cell,myeloid cell,natural killer cell,stromal cell
34,0.061659396,0.0512791,0.14294977,0.42640355,0.04007017,0.04086688,0.0617339,0.041577633,0.1334596
35,0.048816223,0.3212573,0.23728317,0.21711501,0.02523139,0.026011443,0.046883028,0.049365222,0.028037164
36,0.04521212,0.027060539,0.38460022,0.04688975,0.018768579,0.3497813,0.07861461,0.02180512,0.02726777
37,0.024882179,0.035704594,0.03413646,0.072369896,0.024053518,0.6962736,0.043329805,0.02937453,0.03987544
38,0.31401485,0.047901023,0.029621538,0.11549092,0.029172547,0.029347839,0.2911536,0.032872688,0.11042498
39,0.05538898,0.062316217,0.04821254,0.5114327,0.047811903,0.06744674,0.09097937,0.05039948,0.0660121
40,0.269918,0.042053178,0.23909649,0.046901006,0.024312098,0.027553095,0.05690614,0.028771412,0.26448858
41,0.050904594,0.054790936,0.0728368,0.46274862,0.062960766,0.1233316,0.06818705,0.044829056,0.059410516
42,0.023077466,0.03040548,0.036275063,0.047817074,0.26925224,0.4925337,0.032064456,0.04533363,0.023240823
43,0.034358017,0.031528644,0.6294062,0.14026704,0.028995397,0.027360423,0.03795145,0.029010488,0.041122325
44,0.046901338,0.052210733,0.042499524,0.40307185,0.04127026,0.042517647,0.08571433,0.04147848,0.24433582
45,0.03133726,0.02758727,0.43761367,0.041607723,0.19767843,0.073352225,0.034676936,0.028361078,0.12778541
46,0.045205772,0.048999283,0.110802665,0.084317215,0.03662839,0.039719142,0.12409771,0.038844366,0.4713855
47,0.026542887,0.15023334,0.0635203,0.053493906,0.025123307,0.023251986,0.17002766,0.46608922,0.02171742
48,0.04270079,0.059564892,0.04179177,0.076399975,0.037278507,0.04198207,0.05241286,0.14435557,0.5035136
49,0.4315375,0.05498851,0.025452262,0.053154416,0.039220244,0.026584025,0.086614296,0.25883475,0.023613965
50,0.020751905,0.03849024,0.028437244,0.048561227,0.020281022,0.5313895,0.038667258,0.24196787,0.031453785
51,0.025949217,0.54059494,0.01625079,0.0485681,0.016743388,0.12543067,0.123288974,0.087404706,0.0157693
52,0.0313556,0.03932404,0.043700345,0.23967548,0.029081127,0.5011016,0.04785956,0.029435003,0.038467247
53,0.14946763,0.061120797,0.045063026,0.46762294,0.045045402,0.045364592,0.078746356,0.04590962,0.06165966
54,0.05147382,0.085948825,0.030966593,0.13489725,0.032864735,0.029242039,0.5574034,0.038243417,0.038959965
55,0.024620691,0.035394516,0.03407254,0.068500064,0.02365682,0.7110312,0.039162982,0.024152867,0.03940838
56,0.055475358,0.058850776,0.04935654,0.5325891,0.048420623,0.070001714,0.068179674,0.047715783,0.069410466
57,0.044345982,0.051663537,0.03721802,0.057872403,0.032258075,0.22148289,0.050108336,0.10289075,0.40216005
58,0.037604146,0.50386786,0.23069882,0.039574917,0.016039213,0.021560546,0.07613834,0.058465842,0.01605031
59,0.040875506,0.046241805,0.024645433,0.064170115,0.022851354,0.1407531,0.34187675,0.25831628,0.06026969
60,0.034343332,0.042847686,0.03630235,0.2811124,0.032512452,0.43948156,0.05039825,0.041373383,0.041628655
61,0.043701883,0.05071645,0.039926514,0.08477706,0.03599958,0.113504514,0.113631934,0.037995573,0.4797465
62,0.047514398,0.057823304,0.044648908,0.08840557,0.040558904,0.046807095,0.057742167,0.04159811,0.5749015
63,0.030743223,0.7160253,0.016732354,0.05546783,0.019773431,0.019559223,0.045638192,0.07554314,0.020517295
64,0.03940354,0.046538707,0.033874903,0.079940096,0.6599076,0.03181163,0.038180087,0.03838807,0.031955298
65,0.58089393,0.08301678,0.043388814,0.07057197,0.027848426,0.031927787,0.09652111,0.035516884,0.030314215
66,0.10436653,0.042674307,0.030235674,0.112292364,0.03113315,0.029785844,0.47059786,0.03301253,0.14590174
67,0.3448068,0.32357958,0.021121604,0.03706208,0.019179845,0.05249322,0.06454455,0.03972809,0.09748425
68,0.034297235,0.22068192,0.034870144,0.057793163,0.51850486,0.026612937,0.039277505,0.044524018,0.02343829
69,0.041448496,0.054361537,0.23585792,0.07239473,0.03299918,0.036329444,0.050106768,0.037012547,0.43948942
70,0.060284115,0.042722154,0.4543589,0.2533242,0.030001558,0.034975097,0.04654096,0.038123522,0.039669573
71,0.13688262,0.09978485,0.54493785,0.049690124,0.023915745,0.022695435,0.063375264,0.030679716,0.028038312
72,0.025756512,0.03361501,0.43476924,0.044247393,0.022098426,0.020274224,0.03279259,0.35946974,0.026976842
73,0.021489805,0.033697516,0.29697144,0.03402558,0.033212136,0.19868551,0.033598546,0.32752657,0.02079286
74,0.037245784,0.05444469,0.036033105,0.060125504,0.09496589,0.03556944,0.0474433,0.23138285,0.40278944
75,0.025462646,0.03438164,0.11201675,0.0615616,0.02202113,0.64491296,0.03882903,0.023600725,0.037213568
76,0.034970224,0.039790925,0.6803097,0.06929091,0.04428757,0.026224976,0.032979142,0.03010438,0.04204207
77,0.02449722,0.03837132,0.051990584,0.040584218,0.33232188,0.19385843,0.045386642,0.25458097,0.018408729
78,0.030186895,0.6995016,0.016689388,0.05634113,0.019641843,0.018829716,0.06546759,0.07365614,0.019685743
79,0.046839133,0.053155344,0.04442977,0.4250323,0.050662886,0.21698321,0.06126664,0.04161597,0.060014766
80,0.046407804,0.03790233,0.03395769,0.07612223,0.66710955,0.031706832,0.03860869,0.036507998,0.03167683
81,0.04587678,0.045688376,0.03804555,0.2600093,0.040898938,0.03348717,0.40863127,0.053807374,0.07355528
82,0.04940916,0.056073267,0.045773063,0.45257854,0.042527627,0.17209896,0.06665698,0.055107627,0.059774775
83,0.50189334,0.048829995,0.19244394,0.0660117,0.02491888,0.02505477,0.08355151,0.029749913,0.02754599
84,0.05642091,0.05892418,0.053783763,0.54566664,0.049523324,0.048549414,0.06800067,0.04829043,0.070840664
85,0.038281143,0.03687391,0.073675,0.06938402,0.6246806,0.033354,0.049517065,0.044630874,0.0296035
86,0.04248618,0.04705085,0.14592473,0.14948222,0.04484559,0.039585166,0.057624634,0.037500206,0.43550047
87,0.044933435,0.08143138,0.0656761,0.07908199,0.05744575,0.041131396,0.05252374,0.06938887,0.5083873
88,0.056618065,0.059536226,0.049672734,0.5453622,0.049874213,0.049279008,0.07062034,0.04852873,0.07050851
89,0.047917556,0.06586483,0.040862344,0.22399697,0.03941065,0.042181466,0.059973452,0.040646587,0.43914607
90,0.24325304,0.04039018,0.12283425,0.13188885,0.021609517,0.32889006,0.062442433,0.02520163,0.023490023
91,0.03102436,0.03806839,0.033972204,0.051371034,0.024539996,0.45041186,0.043396678,0.02730209,0.29991344
92,0.031772923,0.030775674,0.5643033,0.05164192,0.024438415,0.04733506,0.03415149,0.06750414,0.14807703
93,0.08495567,0.03601715,0.34324455,0.11972602,0.10831058,0.024781317,0.04906065,0.15419419,0.079709955
94,0.039642964,0.039980058,0.033942014,0.07513329,0.6664697,0.03312164,0.042596377,0.037340347,0.031773597
95,0.061482273,0.05898533,0.049125336,0.5314868,0.06383001,0.049675975,0.06859714,0.04851431,0.06830279
96,0.039795466,0.05185637,0.038992915,0.06774347,0.06327371,0.038820714,0.049341105,0.19379833,0.45637795
97,0.035079077,0.035343822,0.41873863,0.060502753,0.02793949,0.031624734,0.039458398,0.031596527,0.31971654
98,0.039406564,0.66744787,0.016668301,0.051008962,0.06865122,0.018464318,0.044962224,0.075071126,0.018319353
99,0.076023474,0.055801768,0.031767946,0.20002504,0.04304601,0.031497758,0.48340762,0.038830236,0.03960014
